expert_hidden_sizes,n_hidden_layers,expert_params_total,per_read_expert_acc_oracle,sample_leaf_acc_pipeline,per_read_router_acc
128,1,1060104,62.82850681034905,95.75757575757575,97.37410874022925
256,1,2120200,73.04512388136409,96.96969696969697,97.37410874022925
512,1,4240392,69.5828022343479,95.45454545454545,97.37410874022925
1024,1,8480776,75.48034248337052,96.81818181818181,97.37410874022925
256x128,2,2379024,82.51359859043437,97.12121212121212,97.37410874022925
512x128,2,4746512,85.31064595741161,98.63636363636364,97.37410874022925
1024x128,2,9481488,89.38097590359727,98.93939393939394,97.37410874022925
1024x256,2,10541584,91.4293579316355,98.18181818181819,97.37410874022925
