fold,max_votes_per_sample,sample_family_acc,sample_leaf_acc_pipeline,sample_variant_acc_oracle,n_samples
0,1,95.87020648967551,89.2330383480826,92.03539823008849,678
0,2,95.87020648967551,89.2330383480826,92.03539823008849,678
0,5,99.41002949852508,96.7551622418879,97.05014749262537,678
0,10,100.0,98.82005899705015,98.82005899705015,678
0,20,100.0,99.41002949852508,99.41002949852508,678
0,50,100.0,100.0,100.0,678
0,100,100.0,100.0,100.0,678
0,200,100.0,100.0,100.0,678
0,500,100.0,100.0,100.0,678
0,1000,100.0,100.0,100.0,678
1,1,95.75757575757575,89.54545454545455,92.42424242424242,660
1,2,95.75757575757575,89.54545454545455,92.42424242424242,660
1,5,98.93939393939394,94.6969696969697,95.45454545454545,660
1,10,99.6969696969697,96.66666666666667,96.96969696969697,660
1,20,100.0,96.81818181818181,96.81818181818181,660
1,25,100.0,97.12121212121212,97.12121212121212,660
1,50,100.0,97.87878787878788,97.87878787878788,660
1,100,100.0,97.57575757575758,97.57575757575758,660
1,200,100.0,97.57575757575758,97.57575757575758,660
1,500,100.0,97.72727272727273,97.72727272727273,660
1,1000,100.0,97.57575757575758,97.57575757575758,660
2,1,98.62385321100918,92.66055045871559,93.88379204892966,654
2,2,98.62385321100918,92.66055045871559,93.88379204892966,654
2,5,99.54128440366972,97.85932721712538,98.31804281345566,654
2,10,99.84709480122324,99.54128440366972,99.69418960244649,654
2,20,100.0,100.0,100.0,654
2,50,100.0,100.0,100.0,654
2,100,100.0,100.0,100.0,654
2,200,100.0,100.0,100.0,654
2,500,100.0,100.0,100.0,654
2,1000,100.0,100.0,100.0,654
3,1,97.16981132075472,91.35220125786164,92.9245283018868,636
3,2,97.16981132075472,91.35220125786164,92.9245283018868,636
3,5,99.52830188679245,97.95597484276729,98.42767295597484,636
3,10,99.84276729559748,98.8993710691824,99.05660377358491,636
3,20,100.0,99.84276729559748,99.84276729559748,636
3,50,100.0,100.0,100.0,636
3,100,100.0,100.0,100.0,636
3,200,100.0,100.0,100.0,636
3,500,100.0,100.0,100.0,636
3,1000,100.0,100.0,100.0,636
4,1,98.41269841269842,93.65079365079364,94.60317460317461,630
4,2,98.41269841269842,93.65079365079364,94.60317460317461,630
4,5,99.68253968253968,98.57142857142857,98.88888888888889,630
4,10,100.0,99.2063492063492,99.2063492063492,630
4,20,100.0,99.84126984126983,99.84126984126983,630
4,50,100.0,99.84126984126983,99.84126984126983,630
4,100,100.0,100.0,100.0,630
4,200,100.0,99.84126984126983,99.84126984126983,630
4,500,100.0,100.0,100.0,630
4,1000,100.0,100.0,100.0,630
