fold,precision,router_hidden_sizes,expert_hidden_sizes,n_test_samples,router_val_acc,per_read_router_acc,per_read_expert_acc_oracle,sample_family_acc,sample_variant_acc_given_correct_routing,sample_leaf_acc_pipeline,sample_variant_acc_oracle
0,float32,"[1024, 128]","[1024, 128]",678,97.82348597274786,99.27242409763302,98.54575683407191,100.0,100.0,100.0,100.0
1,float32,"[1024, 128]","[1024, 128]",660,99.3262506025219,99.47117517209509,97.89844072031998,100.0,98.78787878787878,98.78787878787878,98.78787878787878
2,float32,"[1024, 128]","[1024, 128]",654,98.62021566146954,99.77810587294597,99.13919599382106,100.0,100.0,100.0,100.0
3,float32,"[1024, 128]","[1024, 128]",636,98.94601996317829,99.55157788710669,98.9993880796771,100.0,100.0,100.0,100.0
4,float32,"[1024, 128]","[1024, 128]",630,98.22683880850133,99.79007940595999,99.21428850544555,100.0,99.84126984126983,99.84126984126983,99.84126984126983
