router_hidden_sizes,n_hidden_layers,router_params,router_val_acc,per_read_router_acc,sample_family_acc,sample_leaf_acc_pipeline,per_read_expert_acc_oracle
64,1,66305,59.11622356295167,70.00693657667817,81.81818181818181,80.3030303030303,93.96674722097157
128,1,132609,65.81241454940321,64.18273196525722,94.0909090909091,92.57575757575758,93.96674722097157
256,1,265217,71.7295827950207,67.41323217373485,98.18181818181819,95.9090909090909,93.96674722097157
512,1,530433,75.61215329232301,84.64085505787692,94.0909090909091,92.57575757575758,93.96674722097157
128x64,2,140546,73.56823773319165,75.5522518200788,100.0,97.72727272727273,93.96674722097157
256x128,2,297474,88.448960795311,82.21443197804638,100.0,97.72727272727273,93.96674722097157
1024x128,2,1185282,97.86317511571109,97.12505283256226,100.0,97.72727272727273,93.96674722097157
1024x512x128,3,1646083,98.47447726185378,97.99371761999826,100.0,97.72727272727273,93.96674722097157
