label,k,canonical,max_kmers,vocab_size,fold,router_params,expert_params_total,router_val_acc,per_read_router_acc,per_read_expert_acc_oracle,sample_family_acc,sample_leaf_acc_pipeline,sample_variant_acc_oracle
k6_1024,6,False,1024,1024,1,1185282,9481488,96.73745005391007,96.02592764505654,77.31282094971739,100.0,98.03921568627452,98.03921568627452
canonical_k5_512,5,True,512,512,1,660994,5287184,96.84566658210186,96.95327892611351,95.82576861459398,100.0,99.67320261437908,99.67320261437908
k4_256,4,False,256,256,1,398850,3190032,79.06485856535802,79.30172994590615,69.72305785026852,97.54901960784314,96.56862745098039,99.01960784313725
k6_1024,6,False,1024,1024,1,1185282,9481488,96.92135946859808,96.92950698007886,76.08430959667538,99.6969696969697,98.48484848484848,98.78787878787878
k4_256,4,False,256,256,1,398850,3190032,77.22574726154916,75.46631719125222,74.36262178826753,99.24242424242425,94.54545454545455,95.3030303030303
canonical_k5_512,5,True,512,512,1,660994,5287184,97.51608666280814,97.96849586586686,91.88182811838107,100.0,98.33333333333333,98.33333333333333
