error_rate,n_reads,per_read_variant_acc,per_read_family_acc,pct_unclassified,pct_wrong,sample_variant_acc
0.0,131984,87.09389016850527,91.87780337010547,8.122196629894532,0.0,96.66666666666667
0.01,131984,85.75736452903382,90.86328645896472,9.136713541035277,0.0,96.81818181818181
0.02,131984,84.09352648805915,89.54039883622258,10.459601163777428,0.0,97.42424242424242
0.03,131984,81.82355437022669,87.69699357497879,12.303006425021215,0.0,97.27272727272727
0.04,131984,78.61558976845679,84.89286580191538,15.107134198084616,0.0,96.66666666666667
0.05,131984,74.09307188750151,80.59840586737786,19.401594132622137,0.0,96.66666666666667
0.06,131984,68.07794884228392,74.60828585283065,25.391714147169353,0.0,96.51515151515152
0.07,131984,61.26879015638259,67.63471329858164,32.365286701418356,0.0,96.06060606060606
0.08,131984,53.21781428051885,59.159443568917446,40.840556431082554,0.0,94.6969696969697
0.09,131984,45.31306825069706,50.682658504061095,49.317341495938905,0.0,94.6969696969697
0.1,131984,37.399987877318466,42.04221723845315,57.95778276154685,0.0,94.24242424242425
