fold,classifier,precision,hidden_sizes,n_test_samples,val_acc,per_read_leaf_acc,sample_leaf_acc
0,flat,binary,"[1024, 128]",678,56.07749959171501,42.06317300216921,94.69026548672566
1,flat,binary,"[1024, 128]",660,57.76084046653562,46.06300541566449,88.78787878787878
2,flat,binary,"[1024, 128]",654,54.01348660010989,41.70202897830782,84.5565749235474
3,flat,binary,"[1024, 128]",636,51.79252934977129,40.17915800338593,85.22012578616352
4,flat,binary,"[1024, 128]",630,52.32338480264777,47.63210686386803,90.63492063492063
